BXM_proportion,OTV_proportion,ZNV_proportion,Vaccine_used,Antiviral_used,cumulative_incidence_Total,cumulative_incidence_Resistance,Hospitalization,Death_0_18,Death_19_64,Death_65,incidence_0_18,incidence_19_64,hos_19_64,AR,RAR,Hospitalization_rate_max,Direct_cost_Hospitalization,Direct_cost_GP_Consultation_Test_Antiviral,Direct_cost_Total,Indirect_cost,Total_cost,Total_QALY, qaly_negative , incre_cost , incre_qaly , icer , negative_situation ,inmb,WTP,"422,242"
0.3,0.1,0.6,4094747,128001,192002,86030,1192,0,3,2,39189,120403,672,0.0255,0.0114,0.9047,31163500,1343152246,1374315746,473733475,1848049221,605.4921045, -605 ," -5,240,447,295 "," 3,362 ",-1558913.269,dominating," 6,659,857,207.18 ",,
0.3,0.2,0.5,3986655,93984,140976,62259,865,0,2,2,28891,88369,487,0.0187,0.0083,0.9034,22671500,1239432358,1262103858,346743150,1608847008,486.3968617, -486 ," -5,479,649,508 "," 3,481 ",-1574296.12,dominating," 6,949,346,434.00 ",,
0.3,0.3,0.4,3921588,73273,109909,52185,673,0,2,1,22579,68881,379,0.0146,0.0069,0.9026,17622000,1176555669,1194177669,272930850,1467108519,429.297042, -429 ," -5,621,387,997 "," 3,538 ",-1588951.13,dominating," 7,115,194,864.98 ",,
0.3,0.4,0.3,3901063,62102,93153,51119,575,0,2,1,19161,58371,324,0.0124,0.0068,0.9022,15123000,1146236920,1161359920,233122925,1394482845,404.9436517, -405 ," -5,694,013,671 "," 3,562 ",-1598476.084,dominating," 7,198,103,563.09 ",,
0.3,0.5,0.2,3976036,59699,89549,59049,565,0,2,1,18424,56100,318,0.0119,0.0078,0.9022,14868000,1159609532,1174477532,224577500,1399055032,402.8796859, -403 ," -5,689,441,484 "," 3,564 ",-1596267.635,dominating," 7,194,402,868.84 ",,
0.3,0.6,0.1,4134039,67709,101564,79467,663,0,2,1,20877,63606,373,0.0135,0.0105,0.9025,17367000,1216423538,1233790538,253169875,1486960413,425.4071117, -425 ," -5,601,536,103 "," 3,542 ",-1581600.736,dominating," 7,096,985,462.52 ",,
0.3,0.7,0,4302936,90320,135480,119477,917,0,2,2,27775,84827,516,0.018,0.0159,0.9034,23997500,1306078008,1330075508,333818925,1663894433,487.8386879, -488 ," -5,424,602,083 "," 3,479 ",-1559126.912,dominating," 6,893,690,209.03 ",,
0.4,0,0.6,3960845,65818,98727,58093,614,0,2,1,20297,61858,346,0.0131,0.0077,0.9024,16117500,1175093190,1191210690,246366950,1437577640,416.994952, -417 ," -5,650,918,876 "," 3,550 ",-1591763.293,dominating," 7,149,920,203.16 ",,
0.4,0.1,0.5,3842508,47721,71581,41731,441,0,1,1,14746,44849,248,0.0095,0.0055,0.9017,11552500,1103569964,1115122464,176071425,1291193889,331.0070728, -331 ," -5,797,302,627 "," 3,636 ",-1594379.127,dominating," 7,332,611,647.63 ",,
0.4,0.2,0.4,3752373,36071,54106,32215,331,0,1,1,11160,33902,186,0.0072,0.0043,0.9013,8747500,1054005827,1062753327,134514850,1197268177,302.7658042, -303 ," -5,891,228,339 "," 3,664 ",-1607723.567,dominating," 7,438,462,009.36 ",,
0.4,0.3,0.3,3662834,28506,42759,26681,262,0,1,1,8827,26794,147,0.0057,0.0035,0.901,6988000,1013801477,1020789477,107533775,1128323252,283.0202394, -283 ," -5,960,173,264 "," 3,684 ",-1617820.951,dominating," 7,515,744,341.13 ",,
0.4,0.4,0.2,3613276,24037,36056,24208,222,0,1,0,7446,22596,125,0.0048,0.0032,0.9008,5814500,990872360.4,996686860.4,91599125,1088285985,260.5668609, -261 ," -6,000,210,531 "," 3,707 ",-1618822.352,dominating," 7,565,262,367.41 ",,
0.4,0.5,0.1,3642387,22499,33749,24975,210,0,1,0,6971,21148,118,0.0045,0.0033,0.9008,5508500,994768647.8,1000277148,86112300,1086389448,258.596176, -259 ," -6,002,107,068 "," 3,708 ",-1618473.517,dominating," 7,567,991,010.92 ",,
0.4,0.6,0,3784983,24485,36727,30194,235,0,1,0,7584,23005,132,0.0049,0.004,0.9009,6146000,1035640752,1041786752,93202225,1134988977,268.8825385, -269 ," -5,953,507,539 "," 3,698 ",-1609833.85,dominating," 7,515,048,147.45 ",,
0.5,0,0.5,3746591,29640,44460,33090,278,0,1,1,9176,27853,156,0.0059,0.0044,0.9011,7396000,1039958920,1047354920,111584575,1158939495,289.61572, -290 ," -5,929,557,021 "," 3,677 ",-1612397.144,dominating," 7,482,343,209.44 ",,
0.5,0.1,0.4,3654746,22544,33815,25369,210,0,1,0,6984,21187,118,0.0045,0.0034,0.9008,5508500,999930908,1005439408,86258875,1091698283,259.8671831, -260 ," -5,996,798,233 "," 3,707 ",-1617596.381,dominating," 7,562,145,503.14 ",,
0.5,0.2,0.3,3569789,17512,26268,19959,163,0,0,0,5428,16461,92,0.0035,0.0026,0.9006,4156500,966452640,970609140,62550625,1033159765,202.6569659, -203 ," -6,055,336,751 "," 3,764 ",-1608563.287,dominating," 7,644,840,577.68 ",,
0.5,0.3,0.2,3473310,13961,20941,16198,129,0,0,0,4329,13125,73,0.0028,0.0021,0.9005,3289500,933362300.5,936651800.5,49872400,986524200.5,190.9151583, -191 ," -6,101,972,316 "," 3,776 ",-1615911.487,dominating," 7,696,434,026.50 ",,
0.5,0.4,0.1,3398894,11597,17396,13803,108,0,0,0,3597,10905,61,0.0023,0.0018,0.9004,2754000,908687229.5,911441229.5,41440750,952881979.5,182.6322503, -183 ," -6,135,614,537 "," 3,784 ",-1621264.367,dominating," 7,733,573,639.14 ",,
0.5,0.5,0,3350335,10341,15512,12768,96,0,0,0,3207,9725,54,0.0021,0.0017,0.9004,2448000,893181296.5,895629296.5,36952275,932581571.5,177.7568418, -178 ," -6,155,914,945 "," 3,789 ",-1624535.672,dominating," 7,755,932,649.38 ",,
0.6,0,0.4,3622771,17318,25977,22539,165,0,0,0,5368,16273,93,0.0034,0.003,0.9006,4207500,980640044.4,984847544.4,61858750,1046706294,204.7552618, -205 ," -6,041,790,222 "," 3,762 ",-1605859.84,dominating," 7,630,408,059.62 ",,
0.6,0.1,0.3,3533571,13507,20260,17632,128,0,0,0,4188,12694,72,0.0027,0.0023,0.9005,3264000,948697141.6,951961141.6,48250850,1000211992,192.857402, -193 ," -6,088,284,524 "," 3,774 ",-1613116.407,dominating," 7,681,926,138.52 ",,
0.6,0.2,0.2,3440301,10647,15970,13943,100,0,0,0,3302,10008,57,0.0021,0.0019,0.9004,2550000,917920174.6,920470174.6,38040825,958510999.6,182.7211213, -183 ," -6,129,985,516 "," 3,784 ",-1619815.003,dominating," 7,727,907,093.96 ",,
0.6,0.3,0.1,3352324,8512,12768,11191,80,0,0,0,2641,8003,45,0.0017,0.0015,0.9003,2040000,890201257.6,892241257.6,30417900,922659157.6,174.3196638, -174 ," -6,165,837,358 "," 3,793 ",-1625679.583,dominating," 7,767,306,384.17 ",,
0.6,0.4,0,3256636,6968,10452,9212,65,0,0,0,2162,6553,37,0.0014,0.0012,0.9002,1657500,861830590.4,863488090.4,24905450,888393540.4,166.739418, -167 ," -6,200,102,976 "," 3,800 ",-1631453.402,dominating," 7,804,772,699.55 ",,
0.7,0,0.3,3522444,11946,17919,16733,115,0,0,0,3705,11225,65,0.0024,0.0022,0.9004,2932500,942715134.6,945647634.6,42681000,988328634.6,189.0958467, -189 ," -6,100,167,881 "," 3,778 ",-1614655.722,dominating," 7,695,397,782.18 ",,
0.7,0.1,0.2,3438263,9430,14145,13203,90,0,0,0,2925,8863,51,0.0019,0.0018,0.9003,2295000,915006513,917301513,33695850,950997363,180.1182124, -180 ," -6,137,499,153 "," 3,787 ",-1620685.725,dominating," 7,736,519,788.02 ",,
0.7,0.2,0.1,3340921,7491,11236,10479,71,0,0,0,2324,7041,40,0.0015,0.0014,0.9003,1810500,885239615.1,887050115.1,26765825,913815940.1,171.6960893, -172 ," -6,174,680,576 "," 3,795 ",-1626885.813,dominating," 7,777,257,385.03 ",,
0.7,0.3,0,3243669,6001,9002,8388,57,0,0,0,1862,5643,32,0.0012,0.0011,0.9002,1453500,856551389.1,858004889.1,21450175,879455064.1,164.1903131, -164 ," -6,209,041,452 "," 3,803 ",-1632710.265,dominating," 7,814,787,514.97 ",,
0.8,0,0.2,3442316,9012,13518,13034,87,0,0,0,2796,8468,49,0.0018,0.0017,0.9003,2218500,915408932.8,917627432.8,32200375,949827807.8,179.3587797, -179 ," -6,138,668,708 "," 3,788 ",-1620669.555,dominating," 7,738,010,007.63 ",,
0.8,0.1,0.1,3344409,7163,10744,10342,69,0,0,0,2222,6732,39,0.0014,0.0014,0.9003,1759500,885643816.2,887403316.2,25597325,913000641.2,171.1204385, -171 ," -6,175,495,875 "," 3,796 ",-1626853.88,dominating," 7,778,315,747.87 ",,
0.8,0.2,0,3252592,5718,8578,8240,55,0,0,0,1775,5376,31,0.0011,0.0011,0.9002,1402500,858428647.2,859831147.2,20441575,880272722.2,163.9829961, -164 ," -6,208,223,794 "," 3,803 ",-1632406.265,dominating," 7,814,057,394.84 ",,
0.9,0,0.1,3361461,7133,10700,10463,69,0,0,0,2213,6703,39,0.0014,0.0014,0.9003,1759500,890234477.1,891993977.1,25489700,917483677.1,171.7475254, -172 ," -6,171,012,839 "," 3,795 ",-1625941.485,dominating," 7,773,567,929.56 ",,
0.9,0.1,0,3257479,5697,8545,8340,55,0,0,0,1768,5354,31,0.0011,0.0011,0.9002,1402500,859828794.9,861231294.9,20359575,881590869.9,164.0756266, -164 ," -6,206,905,646 "," 3,803 ",-1632099.42,dominating," 7,812,700,134.65 ",,
1,0,0,3281296,5805,8708,8571,57,0,0,0,1802,5456,32,0.0012,0.0011,0.9002,1453500,866448475,867901975,20752150,888654125,165.306202, -165 ," -6,199,842,391 "," 3,802 ",-1630769.827,dominating," 7,805,117,278.93 ",,
